streamid,ds,time
24889,downstream,2.705224
62027,downstream,1.745406
35436,downstream,6.307478
65383,downstream,2.033440
32912,downstream,3.629053
1391,downstream,3.367944
9471,downstream,3.381611
48795,downstream,2.561758
47448,downstream,6.984338
56941,downstream,2.676439
36392,downstream,15.313775
11263,downstream,1.597138
63164,downstream,7.952016
57510,downstream,16.760437
16920,downstream,11.121340
28909,downstream,16.630712
45894,downstream,2.110081
63150,downstream,3.442110
27982,downstream,4.205499
54374,downstream,15.729507
47584,downstream,1.381139
45699,downstream,2.398981
48483,downstream,10.451709
12126,downstream,17.251509
45025,downstream,1.430310
60210,downstream,2.340185
58975,downstream,18.727408
54945,downstream,5.057989
40549,downstream,9.931769
17390,downstream,9.342018
28147,downstream,5.374663
39824,downstream,4.380429
47241,downstream,4.900586
44161,downstream,8.695205
36312,downstream,8.430601
60097,downstream,9.433945
41344,downstream,14.021113
20206,downstream,8.893657
56014,downstream,14.489017
17671,downstream,3.078413
4010,downstream,5.997443
43785,downstream,4.764857
16007,downstream,11.290474
53023,downstream,23.520351
29479,downstream,19.571231
57296,downstream,14.539559
42221,downstream,20.587163
23905,downstream,21.575278
44224,downstream,18.511244
34170,downstream,6.067515
8515,downstream,10.142203
52675,downstream,68.338753
7783,downstream,3.588549
33876,downstream,5.744664
43256,downstream,3.551498
59419,downstream,29.058663
9357,downstream,6.333817
58496,downstream,4.189397
48825,downstream,4.727612
46148,downstream,11.382273
32178,downstream,4.214761
51793,downstream,15.388568
20359,downstream,13.467672
32282,downstream,0.819640
54472,downstream,3.102696
27135,downstream,28.318009
62468,downstream,15.141440
34892,downstream,1.988438
59243,downstream,0.612599
17447,downstream,23.472062
18566,downstream,10.878425
13615,downstream,6.377261
56628,downstream,8.331522
60582,downstream,14.052069
61820,downstream,14.495080
33300,downstream,5.841423
32685,downstream,9.076015
38320,downstream,4.965516
53227,downstream,7.731575
19691,downstream,12.675335
18082,downstream,8.012998
23224,downstream,4.676721
9026,downstream,10.499819
21924,downstream,1.211293
3048,downstream,6.750520
36945,downstream,9.685359
8887,downstream,98.178478
19364,downstream,10.549045
12578,downstream,14.564757
6649,downstream,8.235477
35901,downstream,1.840564
36035,downstream,6.651189
48737,downstream,3.032711
18806,downstream,9.642064
48067,downstream,8.951524
37311,downstream,1.737861
56011,downstream,14.868225
61668,downstream,8.132372
33970,downstream,5.496028
17917,downstream,9.885227
